0.00°F  ----> -17.78°C 
1.00°F  ----> -17.22°C 
2.00°F  ----> -16.67°C 
3.00°F  ----> -16.11°C 
4.00°F  ----> -15.56°C 
5.00°F  ----> -15.00°C 
6.00°F  ----> -14.44°C 
7.00°F  ----> -13.89°C 
8.00°F  ----> -13.33°C 
9.00°F  ----> -12.78°C 
10.00°F  ----> -12.22°C 
11.00°F  ----> -11.67°C 
12.00°F  ----> -11.11°C 
13.00°F  ----> -10.56°C 
14.00°F  ----> -10.00°C 
15.00°F  ----> -9.44°C 
16.00°F  ----> -8.89°C 
17.00°F  ----> -8.33°C 
18.00°F  ----> -7.78°C 
19.00°F  ----> -7.22°C 
20.00°F  ----> -6.67°C 
21.00°F  ----> -6.11°C 
22.00°F  ----> -5.56°C 
23.00°F  ----> -5.00°C 
24.00°F  ----> -4.44°C 
25.00°F  ----> -3.89°C 
26.00°F  ----> -3.33°C 
27.00°F  ----> -2.78°C 
28.00°F  ----> -2.22°C 
29.00°F  ----> -1.67°C 
30.00°F  ----> -1.11°C 
31.00°F  ----> -0.56°C 
32.00°F  ----> 0.00°C 
33.00°F  ----> 0.56°C 
34.00°F  ----> 1.11°C 
35.00°F  ----> 1.67°C 
36.00°F  ----> 2.22°C 
37.00°F  ----> 2.78°C 
38.00°F  ----> 3.33°C 
39.00°F  ----> 3.89°C 
40.00°F  ----> 4.44°C 
41.00°F  ----> 5.00°C 
42.00°F  ----> 5.56°C 
43.00°F  ----> 6.11°C 
44.00°F  ----> 6.67°C 
45.00°F  ----> 7.22°C 
46.00°F  ----> 7.78°C 
47.00°F  ----> 8.33°C 
48.00°F  ----> 8.89°C 
49.00°F  ----> 9.44°C 
50.00°F  ----> 10.00°C 
51.00°F  ----> 10.56°C 
52.00°F  ----> 11.11°C 
53.00°F  ----> 11.67°C 
54.00°F  ----> 12.22°C 
55.00°F  ----> 12.78°C 
56.00°F  ----> 13.33°C 
57.00°F  ----> 13.89°C 
58.00°F  ----> 14.44°C 
59.00°F  ----> 15.00°C 
60.00°F  ----> 15.56°C 
61.00°F  ----> 16.11°C 
62.00°F  ----> 16.67°C 
63.00°F  ----> 17.22°C 
64.00°F  ----> 17.78°C 
65.00°F  ----> 18.33°C 
66.00°F  ----> 18.89°C 
67.00°F  ----> 19.44°C 
68.00°F  ----> 20.00°C 
69.00°F  ----> 20.56°C 
70.00°F  ----> 21.11°C 
71.00°F  ----> 21.67°C 
72.00°F  ----> 22.22°C 
73.00°F  ----> 22.78°C 
74.00°F  ----> 23.33°C 
75.00°F  ----> 23.89°C 
76.00°F  ----> 24.44°C 
77.00°F  ----> 25.00°C 
78.00°F  ----> 25.56°C 
79.00°F  ----> 26.11°C 
80.00°F  ----> 26.67°C 
81.00°F  ----> 27.22°C 
82.00°F  ----> 27.78°C 
83.00°F  ----> 28.33°C 
84.00°F  ----> 28.89°C 
85.00°F  ----> 29.44°C 
86.00°F  ----> 30.00°C 
87.00°F  ----> 30.56°C 
88.00°F  ----> 31.11°C 
89.00°F  ----> 31.67°C 
90.00°F  ----> 32.22°C 
91.00°F  ----> 32.78°C 
92.00°F  ----> 33.33°C 
93.00°F  ----> 33.89°C 
94.00°F  ----> 34.44°C 
95.00°F  ----> 35.00°C 
96.00°F  ----> 35.56°C 
97.00°F  ----> 36.11°C 
98.00°F  ----> 36.67°C 
99.00°F  ----> 37.22°C 
100.00°F  ----> 37.78°C 
101.00°F  ----> 38.33°C 
102.00°F  ----> 38.89°C 
103.00°F  ----> 39.44°C 
104.00°F  ----> 40.00°C 
105.00°F  ----> 40.56°C 
106.00°F  ----> 41.11°C 
107.00°F  ----> 41.67°C 
108.00°F  ----> 42.22°C 
109.00°F  ----> 42.78°C 
110.00°F  ----> 43.33°C 
